정류장,호선_개수,주변_편의시설_개수,노선,위도,경도,주변_장애인시설_개수,지역구,8월_장애인_승객수,9월_장애인_승객수,10월_장애인_승객수,평균_장애인_승객수
상도,1,20,7,37.502834,126.94791,2,동작구,8680,8897,9382,8986.333333333334
숭실대입구(살피재),1,16,7,37.496029,126.953822,1,동작구,8747,9411,9849,9335.666666666666
신대방,1,42,2,37.487462,126.913149,0,동작구,21171,21794,23527,22164.0
신대방삼거리,1,18,7,37.499701,126.928276,1,동작구,13115,13133,13845,13364.333333333334
장승배기,1,28,7,37.504898,126.93915,0,동작구,10029,10154,10483,10222.0
총신대입구(이수),1,20,4,37.486263,126.981989,0,동작구,14740,16127,16127,15664.666666666666
흑석(중앙대입구),1,15,9,37.50877,126.963708,0,동작구,6389,6733,7259,6793.666666666667
녹사평(용산구청),1,10,6,37.534675,126.986695,0,용산구,2374,2630,2789,2597.6666666666665
삼각지,2,16,4,37.534075,126.9726,0,용산구,6535,7673,7960,7389.333333333333
숙대입구(갈월),1,25,4,37.54456,126.972106,1,용산구,10681,11422,11422,11175.0
신용산,1,10,4,37.52917,126.967894,0,용산구,10173,10977,10977,10709.0
이촌(국립중앙박물관),2,8,4,37.522295,126.974733,0,용산구,5325,5878,5878,5693.666666666667
이태원,1,22,6,37.534488,126.994302,0,용산구,4656,4776,5409,4947.0
한강진,1,16,6,37.539631,127.001725,0,용산구,3153,3237,3302,3230.6666666666665
효창공원앞,2,21,6,37.539233,126.961384,2,용산구,5398,5596,6264,5752.666666666667
답십리,1,17,5,37.566747,127.052704,0,동대문구,12521,12510,13730,12920.333333333334
신답,1,7,2,37.57004,127.046481,0,동대문구,1395,1527,1585,1502.3333333333333
용두(동대문구청),1,11,2,37.574028,127.038091,3,동대문구,3560,3574,3595,3576.3333333333335
장한평,1,34,5,37.56144,127.064623,0,동대문구,15972,15404,16410,15928.666666666666
제기동,1,6,1,37.578103,127.034893,0,동대문구,30260,33719,33287,32422.0
청량리(서울시립대입구),2,37,1,37.579956,127.044585,0,동대문구,34528,36305,37312,36048.333333333336
도봉산,2,17,7,37.689241,127.046509,2,도봉구,7664,7774,8851,8096.333333333333
쌍문,1,108,4,37.648627,127.034709,2,도봉구,23748,26252,26252,25417.333333333332
창동,2,71,4,37.653088,127.047274,0,도봉구,26725,29900,29900,28841.666666666668
뚝섬,1,27,2,37.547184,127.047367,0,성동구,11045,11348,11759,11384.0
마장,1,10,5,37.5661,127.042973,0,성동구,6118,6340,6449,6302.333333333333
상왕십리,1,12,2,37.564354,127.029354,0,성동구,11193,10881,11472,11182.0
성수,1,38,2,37.544581,127.055961,0,성동구,24063,23434,24309,23935.333333333332
옥수,2,6,3,37.541684,127.017269,1,성동구,5776,6363,6363,6167.333333333333
왕십리(성동구청),3,34,2,37.561238,127.036954,0,성동구,14088,14286,15193,14522.333333333334
용답,1,4,2,37.561904,127.050899,0,성동구,2519,2569,2707,2598.3333333333335
한양대,1,6,2,37.555273,127.043655,0,성동구,2653,3235,3458,3115.3333333333335
행당,1,16,5,37.557322,127.029476,0,성동구,6822,7009,7300,7043.666666666667
먹골,1,15,7,37.610637,127.077725,0,중랑구,10507,10459,11054,10673.333333333334
면목,1,41,7,37.588579,127.087503,2,중랑구,15252,15373,15913,15512.666666666666
사가정,1,33,7,37.580894,127.088478,0,중랑구,15740,16005,16986,16243.666666666666
상봉(시외버스터미널),2,64,7,37.595577,127.085716,2,중랑구,12682,12709,13487,12959.333333333334
중화,1,30,7,37.602545,127.079264,0,중랑구,11541,11576,12311,11809.333333333334
목동,1,34,5,37.526065,126.864931,2,양천구,11603,12011,12936,12183.333333333334
신목동,1,6,9,37.544277,126.88308,0,양천구,2650,2822,3113,2861.6666666666665
신정(은행정),1,17,5,37.524997,126.856191,0,양천구,11133,11136,11891,11386.666666666666
신정네거리,1,40,2,37.520074,126.852912,1,양천구,10255,11034,11753,11014.0
양천구청,1,43,2,37.512398,126.865819,0,양천구,7495,7730,7987,7737.333333333333
양평,2,13,5,37.525569,126.886129,0,양천구,5459,5339,5676,5491.333333333333
오목교(목동운동장앞),1,22,5,37.524496,126.875181,2,양천구,12962,12593,13377,12977.333333333334
무악재,1,9,3,37.582299,126.950291,0,서대문구,3340,3734,3734,3602.6666666666665
신촌,2,45,2,37.555131,126.936926,0,서대문구,20231,19846,20406,20161.0
아현,1,13,2,37.557345,126.956141,1,서대문구,9314,9697,10030,9680.333333333334
이대,1,41,2,37.556733,126.946013,0,서대문구,8272,8659,8867,8599.333333333334
충정로(경기대입구),2,18,2,37.559704,126.964378,2,서대문구,10636,10434,11155,10741.666666666666
홍제,1,48,3,37.589066,126.943736,0,서대문구,16785,18801,18801,18129.0
미아(서울사이버대학),1,64,4,37.62667,127.025983,4,강북구,17114,19043,19043,18400.0
미아사거리,1,31,4,37.613292,127.030053,0,강북구,28940,30693,30693,30108.666666666668
수유(강북구청),1,77,4,37.638052,127.025732,6,강북구,33465,35855,35855,35058.333333333336
